Name,Scope Project1,
File,E:\LN2min.csv,
Starttime of export,133327233574060000,Sonntag, 2. Juli 2023,00:15:57.406
Endtime of export,133327234774160000,Sonntag, 2. Juli 2023,00:17:57.416


Name,ELM3602_Ch1_Value_ScaledSend,Name,ELM3604_Ch3_Value_ScaledSend,Name,ELM3604_Ch1_Value_ScaledSend,Name,ELM3604_Ch2_Value_ScaledSend
SymbolComment,,SymbolComment,,SymbolComment,Sendewert über OPC-UA wenn DINT,SymbolComment,
Data-Type,INT32,Data-Type,INT32,Data-Type,INT32,Data-Type,INT32
SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5
VariableSize,4,VariableSize,4,VariableSize,4,VariableSize,4
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472,IndexGroup,61472,IndexGroup,61472
IndexOffset,469360,IndexOffset,472128,IndexOffset,470744,IndexOffset,471436
SymbolName,Messdaten.ELM3602_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch3_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch2_Value_ScaledSend
NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1
Port,851,Port,851,Port,851,Port,851
Offset,0,Offset,0,Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0

133327233578260000,12,133327233578260000,-3,133327233578260000,-5,133327233578260000,0
133327233578310000,5,133327233578310000,-3,133327233578310000,1,133327233578310000,-1
133327233578360000,-19,133327233578360000,1,133327233578360000,2,133327233578360000,1
133327233578410000,10,133327233578410000,-1,133327233578410000,3,133327233578410000,0
133327233578460000,7,133327233578460000,-1,133327233578460000,2,133327233578460000,1
133327233578510000,-16,133327233578510000,1,133327233578510000,1,133327233578510000,3
133327233578560000,14,133327233578560000,0,133327233578560000,0,133327233578560000,4
133327233578610000,-23,133327233578610000,-1,133327233578610000,1,133327233578610000,-2
133327233578660000,10,133327233578660000,0,133327233578660000,1,133327233578660000,2
133327233578710000,10,133327233578710000,1,133327233578710000,-1,133327233578710000,1
133327233578760000,5,133327233578760000,0,133327233578760000,1,133327233578760000,-2
133327233578810000,14,133327233578810000,-2,133327233578810000,-2,133327233578810000,4
133327233578860000,-21,133327233578860000,3,133327233578860000,-2,133327233578860000,-1
133327233578910000,1,133327233578910000,-1,133327233578910000,1,133327233578910000,0
133327233578960000,17,133327233578960000,-3,133327233578960000,1,133327233578960000,-2
133327233579010000,10,133327233579010000,-3,133327233579010000,-3,133327233579010000,2
133327233579060000,-7,133327233579060000,0,133327233579060000,4,133327233579060000,5
133327233579110000,11,133327233579110000,0,133327233579110000,-2,133327233579110000,3
133327233579160000,7,133327233579160000,-1,133327233579160000,-1,133327233579160000,0
133327233579210000,-17,133327233579210000,0,133327233579210000,3,133327233579210000,0
133327233579260000,9,133327233579260000,2,133327233579260000,0,133327233579260000,2
133327233579310000,22,133327233579310000,-5,133327233579310000,2,133327233579310000,1
133327233579360000,-1,133327233579360000,0,133327233579360000,2,133327233579360000,2
133327233579410000,9,133327233579410000,1,133327233579410000,3,133327233579410000,-2
133327233579460000,18,133327233579460000,-1,133327233579460000,3,133327233579460000,5
133327233579510000,12,133327233579510000,4,133327233579510000,-1,133327233579510000,1
133327233579560000,14,133327233579560000,0,133327233579560000,0,133327233579560000,1
133327233579610000,-21,133327233579610000,0,133327233579610000,0,133327233579610000,3
133327233579660000,22,133327233579660000,-2,133327233579660000,0,133327233579660000,3
133327233579710000,6,133327233579710000,-1,133327233579710000,-1,133327233579710000,0
133327233579760000,2,133327233579760000,0,133327233579760000,1,133327233579760000,-1
133327233579810000,28,133327233579810000,0,133327233579810000,-2,133327233579810000,0
133327233579860000,6,133327233579860000,4,133327233579860000,0,133327233579860000,1
133327233579910000,37,133327233579910000,1,133327233579910000,-1,133327233579910000,1
133327233579960000,-31,133327233579960000,0,133327233579960000,1,133327233579960000,0
133327233580010000,14,133327233580010000,-1,133327233580010000,1,133327233580010000,1
133327233580060000,12,133327233580060000,-2,133327233580060000,-1,133327233580060000,1
133327233580110000,-15,133327233580110000,0,133327233580110000,2,133327233580110000,-1
133327233580160000,12,133327233580160000,0,133327233580160000,2,133327233580160000,1
133327233580210000,-23,133327233580210000,-1,133327233580210000,2,133327233580210000,0
133327233580260000,1,133327233580260000,4,133327233580260000,-2,133327233580260000,-1
133327233580310000,9,133327233580310000,2,133327233580310000,3,133327233580310000,2
133327233580360000,-10,133327233580360000,0,133327233580360000,2,133327233580360000,0
133327233580410000,-21,133327233580410000,-1,133327233580410000,-4,133327233580410000,2
133327233580460000,0,133327233580460000,2,133327233580460000,-1,133327233580460000,-2
133327233580510000,14,133327233580510000,-1,133327233580510000,1,133327233580510000,-1
133327233580560000,21,133327233580560000,-1,133327233580560000,1,133327233580560000,0
133327233580610000,-28,133327233580610000,-1,133327233580610000,1,133327233580610000,2
133327233580660000,15,133327233580660000,0,133327233580660000,0,133327233580660000,2
133327233580710000,10,133327233580710000,1,133327233580710000,-1,133327233580710000,-3
133327233580760000,7,133327233580760000,2,133327233580760000,-2,133327233580760000,0
133327233580810000,-14,133327233580810000,1,133327233580810000,-2,133327233580810000,-2
133327233580860000,-4,133327233580860000,2,133327233580860000,-2,133327233580860000,2
133327233580910000,1,133327233580910000,2,133327233580910000,0,133327233580910000,-3
133327233580960000,-25,133327233580960000,2,133327233580960000,-1,133327233580960000,2
133327233581010000,41,133327233581010000,3,133327233581010000,0,133327233581010000,-5
133327233581060000,10,133327233581060000,-3,133327233581060000,-3,133327233581060000,3
133327233581110000,-7,133327233581110000,1,133327233581110000,-1,133327233581110000,1
133327233581160000,17,133327233581160000,-1,133327233581160000,3,133327233581160000,-1
133327233581210000,6,133327233581210000,-3,133327233581210000,2,133327233581210000,0
133327233581260000,2,133327233581260000,3,133327233581260000,0,133327233581260000,-2
133327233581310000,-4,133327233581310000,-1,133327233581310000,-2,133327233581310000,1
133327233581360000,17,133327233581360000,2,133327233581360000,0,133327233581360000,-1
133327233581410000,-11,133327233581410000,0,133327233581410000,1,133327233581410000,0
133327233581460000,9,133327233581460000,-2,133327233581460000,0,133327233581460000,3
133327233581510000,4,133327233581510000,0,133327233581510000,0,133327233581510000,1
133327233581560000,-1,133327233581560000,0,133327233581560000,2,133327233581560000,0
133327233581610000,-15,133327233581610000,1,133327233581610000,-2,133327233581610000,-1
133327233581660000,6,133327233581660000,2,133327233581660000,0,133327233581660000,1
133327233581710000,4,133327233581710000,2,133327233581710000,0,133327233581710000,-1
133327233581760000,3,133327233581760000,1,133327233581760000,-4,133327233581760000,-1
133327233581810000,10,133327233581810000,-2,133327233581810000,2,133327233581810000,-2
133327233581860000,-12,133327233581860000,0,133327233581860000,-2,133327233581860000,-1
133327233581910000,34,133327233581910000,0,133327233581910000,-2,133327233581910000,-1
133327233581960000,3,133327233581960000,5,133327233581960000,-1,133327233581960000,0
133327233582010000,-16,133327233582010000,2,133327233582010000,0,133327233582010000,0
133327233582060000,-24,133327233582060000,1,133327233582060000,1,133327233582060000,-1
133327233582110000,10,133327233582110000,-1,133327233582110000,4,133327233582110000,1
133327233582160000,29,133327233582160000,0,133327233582160000,2,133327233582160000,-1
133327233582210000,5,133327233582210000,-1,133327233582210000,4,133327233582210000,-1
133327233582260000,34,133327233582260000,2,133327233582260000,1,133327233582260000,-1
133327233582310000,2,133327233582310000,1,133327233582310000,-2,133327233582310000,3
133327233582360000,11,133327233582360000,-1,133327233582360000,2,133327233582360000,0
133327233582410000,11,133327233582410000,0,133327233582410000,1,133327233582410000,1
133327233582460000,-25,133327233582460000,-3,133327233582460000,2,133327233582460000,-3
133327233582510000,11,133327233582510000,0,133327233582510000,1,133327233582510000,1
133327233582560000,9,133327233582560000,1,133327233582560000,2,133327233582560000,-3
133327233582610000,-17,133327233582610000,5,133327233582610000,2,133327233582610000,1
133327233582660000,-4,133327233582660000,0,133327233582660000,-4,133327233582660000,0
133327233582710000,3,133327233582710000,-2,133327233582710000,1,133327233582710000,-1
133327233582760000,16,133327233582760000,2,133327233582760000,1,133327233582760000,2
133327233582810000,-17,133327233582810000,-3,133327233582810000,1,133327233582810000,0
133327233582860000,12,133327233582860000,0,133327233582860000,0,133327233582860000,-2
133327233582910000,-11,133327233582910000,0,133327233582910000,-1,133327233582910000,0
133327233582960000,-1,133327233582960000,2,133327233582960000,0,133327233582960000,-1
133327233583010000,5,133327233583010000,0,133327233583010000,1,133327233583010000,0
133327233583060000,26,133327233583060000,0,133327233583060000,0,133327233583060000,1
133327233583110000,33,133327233583110000,-1,133327233583110000,1,133327233583110000,-2
133327233583160000,-29,133327233583160000,0,133327233583160000,-2,133327233583160000,-2
133327233583210000,-5,133327233583210000,-4,133327233583210000,0,133327233583210000,-2
133327233583260000,-21,133327233583260000,1,133327233583260000,-3,133327233583260000,-1
133327233583310000,8,133327233583310000,-1,133327233583310000,0,133327233583310000,-2
133327233583360000,2,133327233583360000,2,133327233583360000,-1,133327233583360000,0
133327233583410000,2,133327233583410000,-2,133327233583410000,1,133327233583410000,-1
133327233583460000,0,133327233583460000,-1,133327233583460000,1,133327233583460000,-2
133327233583510000,7,133327233583510000,0,133327233583510000,2,133327233583510000,-1
133327233583560000,-5,133327233583560000,-2,133327233583560000,-2,133327233583560000,1
133327233583610000,13,133327233583610000,1,133327233583610000,-1,133327233583610000,-3
133327233583660000,-19,133327233583660000,-3,133327233583660000,0,133327233583660000,1
133327233583710000,-19,133327233583710000,-1,133327233583710000,-1,133327233583710000,3
133327233583760000,5,133327233583760000,3,133327233583760000,2,133327233583760000,0
133327233583810000,3,133327233583810000,-2,133327233583810000,-1,133327233583810000,3
133327233583860000,-9,133327233583860000,-1,133327233583860000,0,133327233583860000,1
133327233583910000,-1,133327233583910000,-1,133327233583910000,-3,133327233583910000,1
133327233583960000,4,133327233583960000,0,133327233583960000,-3,133327233583960000,-2
133327233584010000,-15,133327233584010000,0,133327233584010000,-1,133327233584010000,3
133327233584060000,1,133327233584060000,0,133327233584060000,0,133327233584060000,0
133327233584110000,-14,133327233584110000,0,133327233584110000,4,133327233584110000,1
133327233584160000,-21,133327233584160000,-3,133327233584160000,4,133327233584160000,-3
133327233584210000,18,133327233584210000,-3,133327233584210000,-1,133327233584210000,1
133327233584260000,11,133327233584260000,1,133327233584260000,0,133327233584260000,1
133327233584310000,-22,133327233584310000,-2,133327233584310000,-1,133327233584310000,-2
133327233584360000,-12,133327233584360000,-2,133327233584360000,1,133327233584360000,-2
133327233584410000,6,133327233584410000,1,133327233584410000,-1,133327233584410000,1
133327233584460000,-10,133327233584460000,-1,133327233584460000,1,133327233584460000,2
133327233584510000,-21,133327233584510000,1,133327233584510000,-1,133327233584510000,0
133327233584560000,23,133327233584560000,-2,133327233584560000,0,133327233584560000,2
133327233584610000,20,133327233584610000,0,133327233584610000,0,133327233584610000,0
133327233584660000,11,133327233584660000,-3,133327233584660000,1,133327233584660000,1
133327233584710000,-8,133327233584710000,1,133327233584710000,0,133327233584710000,0
133327233584760000,-2,133327233584760000,2,133327233584760000,-1,133327233584760000,-4
133327233584810000,-11,133327233584810000,-2,133327233584810000,-1,133327233584810000,0
133327233584860000,-10,133327233584860000,-1,133327233584860000,4,133327233584860000,0
133327233584910000,1,133327233584910000,-2,133327233584910000,3,133327233584910000,0
133327233584960000,21,133327233584960000,0,133327233584960000,0,133327233584960000,-1
133327233585010000,-19,133327233585010000,-3,133327233585010000,-1,133327233585010000,0
133327233585060000,8,133327233585060000,-2,133327233585060000,-1,133327233585060000,3
133327233585110000,-3,133327233585110000,6,133327233585110000,-1,133327233585110000,0
133327233585160000,25,133327233585160000,1,133327233585160000,-3,133327233585160000,1
133327233585210000,-10,133327233585210000,-1,133327233585210000,-1,133327233585210000,-2
133327233585260000,12,133327233585260000,0,133327233585260000,-1,133327233585260000,-2
133327233585310000,6,133327233585310000,-2,133327233585310000,-1,133327233585310000,-3
133327233585360000,15,133327233585360000,0,133327233585360000,1,133327233585360000,1
133327233585410000,-19,133327233585410000,-4,133327233585410000,2,133327233585410000,1
133327233585460000,3,133327233585460000,3,133327233585460000,1,133327233585460000,-3
133327233585510000,-2,133327233585510000,2,133327233585510000,3,133327233585510000,5
133327233585560000,-18,133327233585560000,-1,133327233585560000,1,133327233585560000,-3
133327233585610000,-12,133327233585610000,3,133327233585610000,1,133327233585610000,2
133327233585660000,0,133327233585660000,0,133327233585660000,-2,133327233585660000,-1
133327233585710000,27,133327233585710000,-2,133327233585710000,0,133327233585710000,0
133327233585760000,3,133327233585760000,2,133327233585760000,0,133327233585760000,0
133327233585810000,6,133327233585810000,-1,133327233585810000,-1,133327233585810000,-2
133327233585860000,0,133327233585860000,0,133327233585860000,0,133327233585860000,1
133327233585910000,7,133327233585910000,4,133327233585910000,-1,133327233585910000,2
133327233585960000,-15,133327233585960000,-1,133327233585960000,-1,133327233585960000,0
133327233586010000,12,133327233586010000,0,133327233586010000,-1,133327233586010000,0
133327233586060000,5,133327233586060000,2,133327233586060000,2,133327233586060000,2
133327233586110000,2,133327233586110000,4,133327233586110000,-1,133327233586110000,0
133327233586160000,-10,133327233586160000,1,133327233586160000,0,133327233586160000,-2
133327233586210000,26,133327233586210000,-1,133327233586210000,1,133327233586210000,1
133327233586260000,-6,133327233586260000,4,133327233586260000,2,133327233586260000,-2
133327233586310000,-29,133327233586310000,-1,133327233586310000,2,133327233586310000,2
133327233586360000,-8,133327233586360000,-1,133327233586360000,-1,133327233586360000,-1
133327233586410000,11,133327233586410000,1,133327233586410000,0,133327233586410000,1
133327233586460000,18,133327233586460000,1,133327233586460000,1,133327233586460000,2
133327233586510000,9,133327233586510000,4,133327233586510000,1,133327233586510000,-1
133327233586560000,-22,133327233586560000,0,133327233586560000,3,133327233586560000,0
133327233586610000,24,133327233586610000,-1,133327233586610000,0,133327233586610000,2
