Name,Scope Project1,
File,E:\RT2min.csv,
Starttime of export,133340919360180000,Montag, 17. Juli 2023,20:25:36.018
Endtime of export,133340920560180000,Montag, 17. Juli 2023,20:27:36.018


Name,ELM3602_Ch1_Value_ScaledSend,Name,ELM3604_Ch3_Value_ScaledSend,Name,ELM3604_Ch1_Value_ScaledSend,Name,ELM3604_Ch2_Value_ScaledSend
SymbolComment,,SymbolComment,,SymbolComment,Sendewert über OPC-UA wenn DINT,SymbolComment,
Data-Type,INT32,Data-Type,INT32,Data-Type,INT32,Data-Type,INT32
SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5
VariableSize,4,VariableSize,4,VariableSize,4,VariableSize,4
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472,IndexGroup,61472,IndexGroup,61472
IndexOffset,469360,IndexOffset,472128,IndexOffset,470744,IndexOffset,471436
SymbolName,Messdaten.ELM3602_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch3_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch2_Value_ScaledSend
NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1
Port,851,Port,851,Port,851,Port,851
Offset,0,Offset,0,Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0

133340919364730000,-21,133340919364730000,-1,133340919364730000,-1,133340919364730000,3
133340919364780000,-6,133340919364780000,0,133340919364780000,-3,133340919364780000,-2
133340919364830000,5,133340919364830000,2,133340919364830000,-4,133340919364830000,-4
133340919364880000,-25,133340919364880000,0,133340919364880000,-3,133340919364880000,1
133340919364930000,6,133340919364930000,-2,133340919364930000,0,133340919364930000,0
133340919364980000,6,133340919364980000,-4,133340919364980000,0,133340919364980000,-3
133340919365030000,14,133340919365030000,3,133340919365030000,-2,133340919365030000,1
133340919365080000,-15,133340919365080000,3,133340919365080000,-3,133340919365080000,-1
133340919365130000,9,133340919365130000,0,133340919365130000,1,133340919365130000,2
133340919365180000,5,133340919365180000,1,133340919365180000,0,133340919365180000,1
133340919365230000,9,133340919365230000,4,133340919365230000,-1,133340919365230000,-1
133340919365280000,-11,133340919365280000,0,133340919365280000,0,133340919365280000,2
133340919365330000,23,133340919365330000,1,133340919365330000,0,133340919365330000,1
133340919365380000,-20,133340919365380000,-1,133340919365380000,-2,133340919365380000,4
133340919365430000,-2,133340919365430000,0,133340919365430000,-1,133340919365430000,-2
133340919365480000,22,133340919365480000,2,133340919365480000,1,133340919365480000,1
133340919365530000,-9,133340919365530000,-1,133340919365530000,-2,133340919365530000,2
133340919365580000,27,133340919365580000,3,133340919365580000,-1,133340919365580000,-1
133340919365630000,-6,133340919365630000,-1,133340919365630000,1,133340919365630000,-1
133340919365680000,4,133340919365680000,-2,133340919365680000,-1,133340919365680000,-1
133340919365730000,-2,133340919365730000,-3,133340919365730000,-1,133340919365730000,1
133340919365780000,25,133340919365780000,-2,133340919365780000,-1,133340919365780000,-1
133340919365830000,14,133340919365830000,1,133340919365830000,1,133340919365830000,-1
133340919365880000,-34,133340919365880000,-2,133340919365880000,6,133340919365880000,-1
133340919365930000,27,133340919365930000,-2,133340919365930000,2,133340919365930000,1
133340919365980000,14,133340919365980000,0,133340919365980000,1,133340919365980000,-1
133340919366030000,-33,133340919366030000,2,133340919366030000,0,133340919366030000,0
133340919366080000,-17,133340919366080000,2,133340919366080000,-3,133340919366080000,3
133340919366130000,10,133340919366130000,-3,133340919366130000,0,133340919366130000,-1
133340919366180000,-11,133340919366180000,-2,133340919366180000,2,133340919366180000,0
133340919366230000,5,133340919366230000,4,133340919366230000,0,133340919366230000,1
133340919366280000,21,133340919366280000,0,133340919366280000,3,133340919366280000,0
133340919366330000,-1,133340919366330000,1,133340919366330000,2,133340919366330000,0
133340919366380000,-6,133340919366380000,-1,133340919366380000,-2,133340919366380000,1
133340919366430000,-18,133340919366430000,-1,133340919366430000,0,133340919366430000,-1
133340919366480000,-31,133340919366480000,1,133340919366480000,-3,133340919366480000,-2
133340919366530000,6,133340919366530000,2,133340919366530000,0,133340919366530000,-1
133340919366580000,14,133340919366580000,-1,133340919366580000,1,133340919366580000,1
133340919366630000,4,133340919366630000,-3,133340919366630000,2,133340919366630000,2
133340919366680000,-11,133340919366680000,2,133340919366680000,-1,133340919366680000,1
133340919366730000,-9,133340919366730000,-1,133340919366730000,4,133340919366730000,-1
133340919366780000,-27,133340919366780000,3,133340919366780000,0,133340919366780000,-1
133340919366830000,7,133340919366830000,-2,133340919366830000,-1,133340919366830000,1
133340919366880000,24,133340919366880000,1,133340919366880000,0,133340919366880000,2
133340919366930000,-5,133340919366930000,4,133340919366930000,-2,133340919366930000,0
133340919366980000,7,133340919366980000,0,133340919366980000,2,133340919366980000,-1
133340919367030000,-7,133340919367030000,0,133340919367030000,-5,133340919367030000,-2
133340919367080000,-6,133340919367080000,-3,133340919367080000,0,133340919367080000,-1
133340919367130000,-11,133340919367130000,4,133340919367130000,-1,133340919367130000,1
133340919367180000,18,133340919367180000,-2,133340919367180000,-1,133340919367180000,2
133340919367230000,13,133340919367230000,0,133340919367230000,1,133340919367230000,-2
133340919367280000,32,133340919367280000,2,133340919367280000,-1,133340919367280000,-1
133340919367330000,-42,133340919367330000,3,133340919367330000,3,133340919367330000,4
133340919367380000,-19,133340919367380000,-2,133340919367380000,1,133340919367380000,-3
133340919367430000,-22,133340919367430000,-1,133340919367430000,-2,133340919367430000,1
133340919367480000,6,133340919367480000,-3,133340919367480000,0,133340919367480000,1
133340919367530000,1,133340919367530000,4,133340919367530000,3,133340919367530000,2
133340919367580000,20,133340919367580000,1,133340919367580000,1,133340919367580000,-1
133340919367630000,-24,133340919367630000,2,133340919367630000,0,133340919367630000,-1
133340919367680000,-5,133340919367680000,-2,133340919367680000,2,133340919367680000,3
133340919367730000,-23,133340919367730000,2,133340919367730000,-4,133340919367730000,-2
133340919367780000,7,133340919367780000,-3,133340919367780000,2,133340919367780000,0
133340919367830000,8,133340919367830000,1,133340919367830000,1,133340919367830000,1
133340919367880000,0,133340919367880000,0,133340919367880000,2,133340919367880000,2
133340919367930000,12,133340919367930000,0,133340919367930000,4,133340919367930000,-2
133340919367980000,1,133340919367980000,2,133340919367980000,3,133340919367980000,-3
133340919368030000,-23,133340919368030000,2,133340919368030000,0,133340919368030000,3
133340919368080000,-2,133340919368080000,0,133340919368080000,3,133340919368080000,1
133340919368130000,-8,133340919368130000,1,133340919368130000,-5,133340919368130000,-1
133340919368180000,-5,133340919368180000,0,133340919368180000,-1,133340919368180000,2
133340919368230000,27,133340919368230000,-2,133340919368230000,2,133340919368230000,1
133340919368280000,-18,133340919368280000,-1,133340919368280000,1,133340919368280000,0
133340919368330000,-10,133340919368330000,0,133340919368330000,0,133340919368330000,0
133340919368380000,-12,133340919368380000,0,133340919368380000,-1,133340919368380000,-4
133340919368430000,20,133340919368430000,-1,133340919368430000,4,133340919368430000,0
133340919368480000,16,133340919368480000,0,133340919368480000,0,133340919368480000,-1
133340919368530000,0,133340919368530000,1,133340919368530000,4,133340919368530000,0
133340919368580000,-10,133340919368580000,4,133340919368580000,1,133340919368580000,-1
133340919368630000,14,133340919368630000,0,133340919368630000,1,133340919368630000,-3
133340919368680000,-21,133340919368680000,0,133340919368680000,1,133340919368680000,0
133340919368730000,-26,133340919368730000,0,133340919368730000,-1,133340919368730000,-1
133340919368780000,4,133340919368780000,0,133340919368780000,-3,133340919368780000,-1
133340919368830000,-5,133340919368830000,-1,133340919368830000,4,133340919368830000,3
133340919368880000,-39,133340919368880000,-1,133340919368880000,3,133340919368880000,2
133340919368930000,10,133340919368930000,0,133340919368930000,1,133340919368930000,-1
133340919368980000,11,133340919368980000,0,133340919368980000,-2,133340919368980000,4
133340919369030000,10,133340919369030000,-2,133340919369030000,0,133340919369030000,1
133340919369080000,5,133340919369080000,1,133340919369080000,-2,133340919369080000,-1
133340919369130000,20,133340919369130000,1,133340919369130000,-1,133340919369130000,-1
133340919369180000,19,133340919369180000,-2,133340919369180000,-1,133340919369180000,-2
133340919369230000,12,133340919369230000,1,133340919369230000,1,133340919369230000,1
133340919369280000,13,133340919369280000,1,133340919369280000,5,133340919369280000,1
133340919369330000,-17,133340919369330000,-5,133340919369330000,0,133340919369330000,2
133340919369380000,-10,133340919369380000,-1,133340919369380000,-1,133340919369380000,-3
133340919369430000,-2,133340919369430000,0,133340919369430000,-2,133340919369430000,-2
133340919369480000,-19,133340919369480000,-4,133340919369480000,1,133340919369480000,0
133340919369530000,11,133340919369530000,-4,133340919369530000,2,133340919369530000,1
133340919369580000,8,133340919369580000,2,133340919369580000,2,133340919369580000,0
133340919369630000,-3,133340919369630000,0,133340919369630000,-1,133340919369630000,1
133340919369680000,14,133340919369680000,0,133340919369680000,2,133340919369680000,-2
133340919369730000,11,133340919369730000,1,133340919369730000,1,133340919369730000,-1
133340919369780000,4,133340919369780000,1,133340919369780000,-1,133340919369780000,0
133340919369830000,6,133340919369830000,-3,133340919369830000,-1,133340919369830000,0
133340919369880000,0,133340919369880000,1,133340919369880000,-1,133340919369880000,3
133340919369930000,-6,133340919369930000,1,133340919369930000,-1,133340919369930000,-1
133340919369980000,-7,133340919369980000,-2,133340919369980000,0,133340919369980000,-2
133340919370030000,27,133340919370030000,-1,133340919370030000,1,133340919370030000,0
133340919370080000,4,133340919370080000,-2,133340919370080000,-2,133340919370080000,1
133340919370130000,9,133340919370130000,-1,133340919370130000,0,133340919370130000,0
133340919370180000,-6,133340919370180000,1,133340919370180000,1,133340919370180000,-1
133340919370230000,12,133340919370230000,1,133340919370230000,-1,133340919370230000,-1
